This file is used in sample 9
Sales per region
"Period","Europe","Africa","Asia","North America","South America","Austraila"
2010-01,12.3,8,55.1,35,14.1,12.1
2010-02,13.9,9.1,51.1,35.3,14.4,11.1
2010-03,11.4,8.7,54.7,32.1,13.1,12.3
2010-04,12.1,9.2,53.3,35,11.2,10.4
2010-05,9.4,10,45.3,25.8,12.4,13.1
2010-06,14.3,9.8,49.4,29.2,14.1,14.2
2010-07,7.3,11,50.0,31.2,14.9,12.3
2010-08,19.3,10.1,49.6,35,13.3,10.1
2010-09,21.0,8.5,41.1,35,14.5,9.3
2010-10,23.8,9.1,45,32,16.1,11.1
2010-11,25.6,10.8,49,33.6,14.4,13.4
2010-12,17.2,12.1,43.2,35.1,15.1,15.1
EOF
